Book-Title,Book-Rating_x,Book-Rating_y
Free,449,8.017857142857142
Love You Forever,326,6.791666666666667
Falling Up,263,6.743589743589744
The Stand (The Complete and Uncut Edition),352,6.175438596491228
Griffin &amp; Sabine: An Extraordinary Correspondence,435,6.041666666666667
Harry Potter and the Prisoner of Azkaban (Book 3),2505,5.852803738317757
Harry Potter and the Goblet of Fire (Book 4),2254,5.8242894056847545
The Little Prince,820,5.815602836879433
The Cat in the Hat,305,5.754716981132075
Harry Potter and the Sorcerer's Stone (Book 1),1595,5.737410071942446
The Hobbit,456,5.7
Harry Potter and the Order of the Phoenix (Book 5),1909,5.501440922190202
Wicca: A Guide for the Solitary Practitioner,269,5.489795918367347
Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,289,5.452830188679245
Ender's Game (Ender Wiggins Saga (Paperback)),1347,5.409638554216867
Fear and Loathing in Las Vegas : A Savage Journey to the Heart of the American Dream,307,5.385964912280702
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",343,5.359375
The Lord of the Rings (Movie Art Cover),370,5.285714285714286
All I Need to Know I Learned from My Cat,330,5.238095238095238
Hyperion,255,5.204081632653061
Jitterbug Perfume,457,5.193181818181818
Harry Potter and the Chamber of Secrets (Book 2),2882,5.183453237410072
The Vagina Monologues: The V-Day Edition,326,5.174603174603175
The Perks of Being a Wallflower,535,5.144230769230769
The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002),296,5.103448275862069
Charlie and the Chocolate Factory,360,5.070422535211268
The Godfather,402,5.025
A Clockwork Orange (Norton Paperback Fiction),261,5.019230769230769
The Hobbit: or There and Back Again,351,5.014285714285714
The Hobbit : The Enchanting Prelude to The Lord of the Rings,1407,5.00711743772242
The Blue Day Book,268,4.962962962962963
Go Ask Alice,461,4.956989247311828
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",1821,4.948369565217392
The Darwin Awards: Evolution in Action,469,4.936842105263158
The Giver (21st Century Reference),880,4.916201117318436
Ishmael: An Adventure of the Mind and Spirit,795,4.907407407407407
Interpreter of Maladies,666,4.897058823529412
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),2815,4.895652173913043
"The Two Towers (The Lord of the Rings, Part 2)",1269,4.880769230769231
Anne Frank: The Diary of a Young Girl,689,4.852112676056338
MÃ?Â¶rder ohne Gesicht.,271,4.839285714285714
The Magician's Nephew (rack) (Narnia),323,4.82089552238806
The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),438,4.813186813186813
The Worst-Case Scenario Survival Handbook,308,4.8125
Into Thin Air : A Personal Account of the Mount Everest Disaster,360,4.8
Charlotte's Web (Trophy Newbery),617,4.782945736434108
Hatchet,301,4.777777777777778
The Professor and the Madman,277,4.775862068965517
Speak,382,4.775
The Neverending Story,377,4.772151898734177
